324	382	304	362	343	401	1	
523	233	504	207	544	258	2	
792	615	769	588	819	644	3	
845	575	821	550	869	604	4	
573	199	556	175	596	222	5	
634	645	608	618	659	672	6	
756	655	738	634	778	678	7	
134	701	111	674	158	729	8	
599	788	574	765	627	815	9	
645	167	625	143	665	192	10	
814	502	790	476	839	528	11	
54	517	34	493	78	549	12	
249	578	222	554	273	599	13	
793	77	772	57	818	106	14	
834	101	818	73	863	122	15	
60	696	42	675	79	721	16	
195	884	169	856	215	911	17	
213	409	181	380	242	439	18	
343	873	315	851	375	898	19	
373	905	341	882	394	930	20	
428	437	406	420	444	460	21	
427	279	404	250	446	305	22	
477	840	451	816	510	862	23	
501	799	471	775	527	817	24	
625	732	607	711	645	753	25	
883	132	861	110	908	152	26	
474	303	446	284	504	329	27	
746	98	718	76	772	124	28	
148	461	123	432	175	492	29	
206	466	184	446	225	492	30	
639	332	616	311	660	350	31	
791	134	772	110	814	161	32	
817	220	797	199	838	242	33	
871	463	847	437	898	484	34	
908	86	884	59	935	110	35	
91	470	71	451	110	491	36	
249	629	222	605	277	656	37	
348	820	324	796	373	842	38	
376	666	351	640	406	693	39	
462	441	444	417	481	466	40	
681	575	655	553	707	593	41	
689	280	664	257	714	303	42	
758	249	740	227	778	271	43	
930	296	912	269	951	320	44	
103	867	82	841	121	892	45	
109	936	85	913	135	953	46	
365	404	333	381	393	433	47	
328	353	301	326	365	377	48	
549	824	527	805	572	844	49	
591	382	571	358	615	408	50	
265	421	242	390	288	445	51	
257	370	235	350	275	390	52	
91	524	78	499	117	547	53	
116	615	100	597	136	641	54	
354	603	330	581	380	620	55	
491	639	471	614	512	666	56	
556	546	525	519	587	569	57	
557	664	530	638	585	691	58	
586	627	560	602	612	659	59	
703	640	667	611	738	669	60	
744	531	724	513	768	550	61	
853	519	839	495	877	542	62	
898	323	883	300	916	344	63	
134	511	117	492	161	539	64	
864	323	843	304	883	338	65	
895	538	873	520	918	558	66	
50	942	30	919	76	959	67	
181	572	151	546	215	595	68	
199	816	177	796	231	837	69	
508	436	491	413	528	457	70	
624	492	595	468	651	519	71	
838	155	817	133	861	180	72	
248	695	228	665	277	724	73	
308	454	288	438	329	475	74	
317	645	291	626	338	667	75	
403	563	379	537	430	586	76	
497	696	470	675	524	719	77	
529	749	504	719	555	775	78	
701	713	680	682	737	746	79	
702	166	675	139	724	190	80	
869	272	846	250	894	290	81	
719	209	698	190	741	230	82	
749	189	724	170	772	209	83	
409	481	387	459	437	509	84	
500	504	476	470	525	535	85	
748	147	724	124	772	170	86	
810	268	791	252	830	286	87	
457	498	437	482	476	515	88	
480	554	457	535	504	579	89	
103	806	77	782	126	831	90	
122	639	96	611	144	660	91	
184	752	158	722	221	783	92	
196	703	168	677	221	722	93	
544	603	522	581	563	623	94	
722	338	702	317	759	362	95	
499	596	476	579	522	615	96	
741	382	721	362	758	408	97	
662	378	639	358	685	402	98	
689	447	665	423	716	469	99	
84	754	58	729	108	782	100	
752	481	735	461	772	501	101	
856	228	838	200	884	250	102	
939	46	919	30	959	71	103	
800	434	765	415	829	463	104	
793	569	775	547	815	588	105	
438	620	418	592	460	646	106	
546	789	527	772	568	805	107	
