38	528	20	495	59	561	
52	426	30	413	73	443	
107	640	86	623	131	658	
111	566	88	551	140	585	
142	581	125	552	162	601	
175	562	156	537	195	590	
169	303	148	281	192	327	
205	247	180	224	229	271	
300	244	270	229	340	266	
330	261	292	240	364	285	
327	287	302	268	366	311	
381	301	368	276	399	328	
391	253	370	240	413	272	
398	450	373	421	420	472	
424	503	400	480	454	525	
725	210	701	189	749	237	
20	458	4	433	31	485	
107	536	74	518	137	552	
180	607	160	590	204	628	
305	210	283	189	326	229	
379	224	359	202	403	240	
45	460	31	443	66	484	
74	497	59	470	88	518	
99	495	88	471	114	518	
156	491	139	475	175	510	
480	196	457	176	503	217	
28	607	3	583	55	631	
395	395	369	371	417	415	
568	343	545	320	589	367	
926	182	914	162	941	205	
508	456	486	439	531	477	
632	150	604	133	660	177	
692	306	676	284	705	330	
717	306	704	283	737	330	
840	362	821	340	854	389	
862	431	843	412	881	453	
880	248	854	233	905	260	
585	180	563	157	612	206	
126	497	114	477	140	518	
210	339	193	318	233	355	
489	305	471	285	507	326	
719	475	700	456	739	495	
797	261	777	241	819	284	
53	396	30	379	74	413	
267	542	245	524	294	567	
350	328	335	310	369	355	
360	437	343	414	373	465	
465	237	442	217	483	261	
477	407	458	389	498	428	
748	163	722	141	776	189	
847	169	830	145	866	190	
873	158	856	133	889	184	
12	391	0	370	30	412	
323	333	311	311	335	358	
385	356	369	336	407	371	
14	653	0	631	33	677	
399	553	380	535	420	577	
709	256	692	237	730	275	
474	511	454	488	490	532	
659	340	644	318	678	361	
139	427	116	403	161	449	
234	499	215	484	253	520	
260	435	243	418	279	455	
356	506	338	485	374	529	
602	485	568	466	632	507	
603	443	576	422	632	460	
121	256	99	239	141	277	
215	385	198	366	231	404	
832	215	820	193	847	238	
25	330	13	302	43	361	
104	604	85	585	122	623	
540	404	518	379	562	429	
716	412	694	391	736	439	
938	348	915	325	958	372	
618	236	600	217	634	257	
636	193	616	177	659	211	
731	365	712	342	751	386	
801	452	779	439	822	469	
918	395	901	370	939	417	
792	424	774	402	815	439	
884	392	868	374	901	412	
558	266	542	247	576	287	
71	353	56	330	92	376	
122	370	104	351	139	390	
426	333	407	312	444	355	
623	393	605	373	644	412	
616	292	600	274	630	312	
679	466	664	445	700	484	
649	468	631	450	664	487	
313	385	298	367	326	406	
442	181	428	161	457	199	
345	385	326	366	369	401	
65	297	43	273	83	316	
341	546	326	528	355	568	
795	145	776	128	815	165	
885	282	868	260	902	302	
341	212	326	196	359	229	
704	159	683	141	722	178	
276	583	262	567	294	600	
541	213	519	196	563	234	
647	229	633	210	661	250	
783	323	762	300	804	343	
507	508	490	490	526	527	
672	265	652	252	692	278	
96	459	73	448	117	471	
346	553	325	529	369	580	
494	355	481	337	511	375	
938	440	906	405	958	458	
463	352	444	336	481	370	
