1	324	382	15	
2	523	233	4	
3	792	615	7	
4	845	575	5	
5	573	199	3	
6	634	645	12	
7	756	655	7	
8	134	701	13	
9	599	788	10	
10	645	167	5	
11	814	502	4	
12	54	517	6	
13	249	578	7	
14	793	77	6	
15	834	101	2	
16	60	696	4	
17	195	884	7	
18	213	409	11	
19	343	873	4	
20	373	905	13	
21	428	437	3	
22	427	279	3	
23	477	840	9	
24	501	799	4	
25	625	732	11	
26	883	132	3	
27	474	303	11	
28	746	98	4	
29	148	461	8	
30	206	466	4	
31	639	332	5	
32	791	134	8	
33	817	220	2	
34	871	463	3	
35	908	86	9	
36	91	470	3	
37	249	629	8	
38	348	820	7	
39	376	666	14	
40	462	441	18	
41	681	575	1	
42	689	280	3	
43	758	249	3	
44	930	296	0	
45	103	867	7	
46	109	936	22	
47	365	404	10	
48	328	353	14	
49	549	824	12	
50	591	382	5	
51	265	421	13	
52	257	370	9	
53	91	524	5	
54	116	615	11	
55	354	603	9	
56	491	639	5	
57	556	546	13	
58	557	664	3	
59	586	627	12	
60	703	640	6	
61	744	531	2	
62	853	519	7	
63	898	323	2	
64	134	511	13	
65	864	323	3	
66	895	538	5	
67	50	942	0	
68	181	572	12	
69	199	816	9	
70	508	436	8	
71	624	492	7	
72	838	155	2	
73	248	695	7	
74	308	454	1	
75	317	645	14	
76	403	563	3	
77	497	696	8	
78	529	749	7	
79	701	713	6	
80	702	166	9	
81	869	272	2	
82	719	209	2	
83	749	189	7	
84	409	481	13	
85	500	504	13	
86	748	147	6	
87	810	268	4	
88	457	498	4	
89	480	554	13	
90	103	806	7	
91	122	639	8	
92	184	752	15	
93	196	703	13	
94	544	603	6	
95	722	338	6	
96	499	596	1	
97	741	382	1	
98	662	378	2	
99	689	447	5	
100	84	754	12	
101	752	481	0	
102	856	228	8	
103	939	46	2	
104	800	434	4	
105	793	569	4	
106	438	620	10	
107	546	789	5	
